sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
100; -1.6590; -0.1816; 83.2828; -0.0234; 0.1973; -9.7354;   0.01;  -0.04;   0.98;  -0.24;   0.15;   0.06 
101; -1.6545; -0.1797; 83.7344; -0.0273; 0.3682; -9.7578;   0.01;  -0.04;   0.99;  -0.24;   0.16;   0.07 
102; -1.6547; -0.1831; 84.1843; -0.0430; 0.2773; -9.7656;   0.02;  -0.04;   0.98;  -0.25;   0.15;   0.06 
103; -1.6496; -0.1912; 84.6325; -0.0410; 0.1973; -9.8105;   0.02;  -0.04;   0.98;  -0.26;   0.15;   0.07 
104; -1.6502; -0.1946; 85.0882; -0.0391; 0.2734; -9.8018;   0.02;  -0.04;   0.98;  -0.25;   0.15;   0.07 
105; -1.6404; -0.1976; 85.5328; -0.0518; 0.3223; -9.8301;   0.02;  -0.04;   0.99;  -0.25;   0.15;   0.06 
106; -1.6358; -0.2058; 85.9851; -0.0156; 0.2080; -9.8369;   0.02;  -0.04;   0.98;  -0.25;   0.16;   0.06 
107; -1.6362; -0.2093; 86.4356; -0.0518; 0.3594; -9.8027;   0.01;  -0.04;   0.98;  -0.24;   0.15;   0.06 
108; -1.6268; -0.2124; 86.8844; 0.0029; 0.3203; -9.8311;   0.01;  -0.04;   0.98;  -0.25;   0.15;   0.07 
109; -1.6275; -0.2159; 87.3411; -0.0518; 0.3467; -9.7891;   0.01;  -0.04;   0.98;  -0.25;   0.15;   0.07 
110; -1.6281; -0.2194; 87.7860; -0.0039; 0.2158; -9.7373;   0.01;  -0.04;   0.98;  -0.25;   0.15;   0.06 
111; -1.6241; -0.2179; 88.2390; -0.0176; 0.3350; -9.7783;   0.02;  -0.04;   0.98;  -0.26;   0.15;   0.07 
112; -1.6198; -0.2263; 88.6904; -0.0762; 0.2832; -9.7363;   0.01;  -0.04;   0.98;  -0.25;   0.15;   0.07 
113; -1.6157; -0.2248; 89.1399; -0.0303; 0.3203; -9.8330;   0.02;  -0.04;   0.98;  -0.25;   0.15;   0.07 
114; -1.6164; -0.2284; 89.5876; -0.0127; 0.1719; -9.8477;   0.02;  -0.04;   0.98;  -0.25;   0.14;   0.07 
115; -1.6073; -0.2319; 90.0337; -0.0723; 0.1719; -9.7949;   0.01;  -0.04;   0.98;  -0.25;   0.14;   0.06 
116; -1.6034; -0.2306; 90.4877; -0.0479; 0.3564; -9.8438;   0.01;  -0.04;   0.98;  -0.26;   0.16;   0.06 
117; -1.5996; -0.2392; 90.9401; -0.0898; 0.2422; -9.8203;   0.01;  -0.04;   0.97;  -0.26;   0.15;   0.06 
118; -1.5955; -0.2478; 91.3809; -0.0654; 0.3203; -9.7920;   0.01;  -0.04;   0.97;  -0.25;   0.15;   0.07 
119; -1.5867; -0.2516; 91.8298; 0.0117; 0.2305; -9.8037;   0.01;  -0.04;   0.98;  -0.26;   0.14;   0.06 
120; -1.5831; -0.2504; 92.2869; -0.0322; 0.2861; -9.8203;   0.01;  -0.04;   0.98;  -0.26;   0.14;   0.07 
121; -1.5793; -0.2592; 92.7322; 0.0049; 0.2158; -9.7988;   0.01;  -0.04;   0.98;  -0.26;   0.14;   0.06 
122; -1.5756; -0.2580; 93.1858; -0.0537; 0.3682; -9.7783;   0.01;  -0.04;   0.98;  -0.26;   0.14;   0.06 
123; -1.5722; -0.2668; 93.6377; -0.0312; 0.2559; -9.7754;   0.02;  -0.04;   0.98;  -0.25;   0.14;   0.07 
124; -1.5685; -0.2658; 94.0878; -0.0195; 0.3135; -9.7832;   0.01;  -0.04;   0.98;  -0.26;   0.15;   0.07 
125; -1.5599; -0.2699; 94.5362; -0.0508; 0.1875; -9.8252;   0.02;  -0.04;   0.97;  -0.25;   0.14;   0.06 
126; -1.5516; -0.2741; 94.9832; -0.0430; 0.1602; -9.7959;   0.01;  -0.04;   0.98;  -0.26;   0.14;   0.06 
127; -1.5529; -0.2782; 95.4091; -0.0566; 0.3125; -9.8281;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.07 
128; -1.5447; -0.2830; 95.8251; -0.0244; 0.3164; -9.7832;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.06 
129; -1.5410; -0.2827; 96.2297; -0.0137; 0.1475; -9.7676;   0.01;  -0.03;   0.89;  -0.26;   0.15;   0.07 
130; -1.5325; -0.2877; 96.6329; -0.0146; 0.1650; -9.7891;   0.01;  -0.03;   0.89;  -0.25;   0.14;   0.05 
131; -1.5289; -0.2874; 97.0444; -0.0361; 0.3037; -9.7744;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.06 
132; -1.5261; -0.2971; 97.4551; -0.0508; 0.2217; -9.8359;   0.01;  -0.03;   0.88;  -0.26;   0.14;   0.07 
133; -1.5225; -0.2970; 97.8545; -0.0732; 0.3330; -9.7920;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.07 
134; -1.5142; -0.3022; 98.2618; -0.0225; 0.1602; -9.8652;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.07 
135; -1.5162; -0.3066; 98.6779; -0.0977; 0.3408; -9.8174;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
136; -1.5081; -0.3118; 99.0829; -0.0850; 0.2422; -9.8037;   0.01;  -0.03;   0.88;  -0.26;   0.14;   0.06 
137; -1.5048; -0.3119; 99.4872; -0.0459; 0.3018; -9.7910;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.06 
138; -1.5023; -0.3217; 99.8991; -0.0605; 0.3057; -9.7764;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
139; -1.4989; -0.3216; 100.3095; 0.0234; 0.3164; -9.7822;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.06 
140; -1.4910; -0.3272; 100.7096; 0.0078; 0.1094; -9.7695;   0.01;  -0.03;   0.88;  -0.27;   0.14;   0.06 
141; -1.4877; -0.3273; 101.1179; -0.0254; 0.1738; -9.7568;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.05 
142; -1.4854; -0.3372; 101.5249; -0.0625; 0.4189; -9.8584;   0.01;  -0.03;   0.89;  -0.27;   0.13;   0.06 
143; -1.4823; -0.3374; 101.9313; -0.0752; 0.2617; -9.8086;   0.01;  -0.03;   0.88;  -0.26;   0.14;   0.06 
144; -1.4748; -0.3430; 102.3452; -0.0605; 0.2783; -9.8223;   0.01;  -0.03;   0.89;  -0.26;   0.14;   0.07 
145; -1.4673; -0.3487; 102.7489; -0.0342; 0.2246; -9.8389;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
146; -1.4696; -0.3532; 103.1599; -0.1240; 0.3516; -9.8018;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.07 
