sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

9879; -2.4614; -1.1790; 125.2933; -0.1387; 0.3652; -9.9922;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9880; -2.4614; -1.1790; 125.2933; -0.2002; 0.4512; -9.9141;   0.00;  -0.00;   0.00;  -0.20;  -0.30;   0.60 
9881; -2.4614; -1.1790; 125.2933; -0.2031; 0.4824; -9.9229;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9882; -2.4614; -1.1790; 125.2933; -0.1064; 0.4375; -9.9238;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9883; -2.4614; -1.1790; 125.2933; -0.1924; 0.4062; -9.9277;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9884; -2.4614; -1.1790; 125.2933; -0.2100; 0.4502; -9.9473;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9885; -2.4614; -1.1790; 125.2933; -0.1455; 0.4189; -9.9570;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9886; -2.4614; -1.1790; 125.2933; -0.1250; 0.3857; -9.8701;   0.00;  -0.00;   0.00;  -0.21;  -0.30;   0.60 
9887; -2.4614; -1.1790; 125.2933; -0.1670; 0.3838; -9.9766;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9888; -2.4614; -1.1790; 125.2933; -0.1973; 0.4033; -9.9160;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.59 
9889; -2.4614; -1.1790; 125.2933; -0.1738; 0.4248; -9.9180;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9890; -2.4614; -1.1790; 125.2933; -0.1104; 0.3760; -9.8828;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9891; -2.4614; -1.1790; 125.2933; -0.1973; 0.4248; -9.9248;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.57 
9892; -2.4614; -1.1790; 125.2933; -0.1963; 0.4492; -9.9951;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9893; -2.4617; -1.1789; 125.3022; -0.2041; 0.4277; -9.8555;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9894; -2.4584; -1.1851; 125.3023; -0.1709; 0.3916; -9.9092;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9895; -2.4584; -1.1851; 125.3023; -0.1377; 0.4062; -9.9287;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9896; -2.4584; -1.1851; 125.3023; -0.1816; 0.4238; -9.9463;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9897; -2.4584; -1.1851; 125.3023; -0.1934; 0.4521; -9.9404;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9898; -2.4584; -1.1851; 125.3023; -0.1514; 0.4600; -9.8818;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.58 
9899; -2.4584; -1.1851; 125.3023; -0.1523; 0.4707; -9.9170;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.60 
9900; -2.4584; -1.1851; 125.3023; -0.1758; 0.4463; -9.9121;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9901; -2.4584; -1.1851; 125.3023; -0.1592; 0.4092; -9.9404;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9902; -2.4584; -1.1851; 125.3023; -0.1582; 0.4258; -10.0137;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9903; -2.4584; -1.1851; 125.3023; -0.1836; 0.4258; -9.9316;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9904; -2.4584; -1.1851; 125.3023; -0.1719; 0.4609; -9.9717;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9905; -2.4584; -1.1851; 125.3023; -0.2051; 0.4424; -9.9336;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9906; -2.4584; -1.1851; 125.3023; -0.2070; 0.4248; -9.9131;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.59 
9907; -2.4584; -1.1851; 125.3023; -0.1514; 0.3984; -9.9053;  -0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.59 
9908; -2.4584; -1.1851; 125.3023; -0.2266; 0.4102; -9.9131;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9909; -2.4584; -1.1851; 125.3023; -0.2051; 0.3955; -9.9805;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9910; -2.4584; -1.1851; 125.3023; -0.1445; 0.4141; -9.8809;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9911; -2.4584; -1.1851; 125.3023; -0.1875; 0.4150; -9.8994;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9912; -2.4584; -1.1851; 125.3023; -0.1719; 0.4609; -9.9268;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9913; -2.4584; -1.1851; 125.3023; -0.1865; 0.4199; -9.9678;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.59 
9914; -2.4584; -1.1851; 125.3023; -0.1670; 0.4053; -9.9736;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9915; -2.4584; -1.1851; 125.3023; -0.1621; 0.4375; -9.9414;   0.00;   0.00;   0.00;  -0.20;  -0.28;   0.58 
9916; -2.4522; -1.1819; 125.3023; -0.1504; 0.4629; -9.9600;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9917; -2.4522; -1.1819; 125.3023; -0.1953; 0.4482; -9.8857;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.59 
9918; -2.4522; -1.1819; 125.3023; -0.1016; 0.4434; -9.8896;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9919; -2.4522; -1.1819; 125.3023; -0.1611; 0.4365; -9.9102;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.58 
9920; -2.4522; -1.1819; 125.3023; -0.1113; 0.4219; -9.9473;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.57 
9921; -2.4522; -1.1819; 125.3023; -0.1582; 0.4004; -10.0244;   0.00;  -0.00;   0.00;  -0.19;  -0.29;   0.59 
9922; -2.4522; -1.1819; 125.3023; -0.1953; 0.4004; -9.9062;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9923; -2.4522; -1.1819; 125.3023; -0.1133; 0.3896; -9.9150;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
