TimeStamp;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

1687869136.6897; -0.3770; 0.3340; -9.6719;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.6917; -0.3408; 0.3232; -9.6963;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6937; -0.3545; 0.3467; -9.6191;  -0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.6957; -0.3682; 0.3428; -9.7236;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.6977; -0.2998; 0.3955; -9.6230;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.6997; -0.3506; 0.3105; -9.6846;  -0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7017; -0.3740; 0.3018; -9.6465;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7037; -0.3428; 0.3223; -9.6582;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.7057; -0.3086; 0.3613; -9.6123;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.7077; -0.3115; 0.3164; -9.6260;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7097; -0.2900; 0.3047; -9.6377;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7117; -0.3447; 0.3389; -9.5889;   0.00;   0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.7137; -0.2969; 0.3320; -9.6035;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.28 
1687869136.7157; -0.2676; 0.2949; -9.6221;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7177; -0.3525; 0.3193; -9.6436;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.7197; -0.3594; 0.3359; -9.6553;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.7217; -0.3281; 0.2686; -9.6436;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.7237; -0.3086; 0.3066; -9.6426;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7257; -0.2900; 0.3271; -9.6562;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7277; -0.3574; 0.3457; -9.6572;  -0.00;   0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.7297; -0.3896; 0.2559; -9.6172;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7317; -0.3369; 0.3320; -9.5986;  -0.00;  -0.00;   0.00;  -0.36;   1.07;  -0.27 
1687869136.7337; -0.3145; 0.3340; -9.6465;  -0.00;   0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.7357; -0.4219; 0.3105; -9.6836;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.7377; -0.3477; 0.3438; -9.6123;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.7397; -0.3164; 0.3398; -9.6270;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7417; -0.3193; 0.3633; -9.6621;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.7437; -0.3232; 0.3027; -9.6660;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.7457; -0.3809; 0.3076; -9.6602;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7477; -0.4014; 0.2979; -9.5410;   0.00;   0.00;   0.00;  -0.35;   1.07;  -0.27 
1687869136.7497; -0.3594; 0.3379; -9.6338;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7517; -0.3760; 0.2969; -9.6348;   0.00;  -0.00;   0.00;  -0.36;   1.05;  -0.27 
1687869136.7537; -0.4043; 0.2871; -9.6250;   0.00;  -0.00;   0.00;  -0.35;   1.07;  -0.27 
1687869136.7557; -0.3428; 0.2900; -9.6328;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.7577; -0.2754; 0.3096; -9.6309;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.7597; -0.3193; 0.3340; -9.6582;   0.00;  -0.00;  -0.00;  -0.36;   1.05;  -0.27 
1687869136.7617; -0.3115; 0.3428; -9.6289;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.7637; -0.3564; 0.2832; -9.6475;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.26 
1687869136.7657; -0.3066; 0.2773; -9.6768;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.7677; -0.3066; 0.3018; -9.6211;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7697; -0.3525; 0.3086; -9.6318;  -0.00;   0.00;  -0.00;  -0.35;   1.07;  -0.28 
1687869136.7717; -0.3721; 0.3340; -9.6670;  -0.00;   0.00;   0.00;  -0.36;   1.07;  -0.27 
1687869136.7737; -0.2588; 0.2666; -9.7041;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.7757; -0.3350; 0.3438; -9.6094;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.7777; -0.3477; 0.3242; -9.6631;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7797; -0.3740; 0.3252; -9.6816;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7817; -0.3389; 0.3154; -9.6875;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.7837; -0.3457; 0.3154; -9.6729;   0.00;   0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.7857; -0.3643; 0.3477; -9.6377;  -0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.7877; -0.4346; 0.3613; -9.6455;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.7897; -0.3428; 0.3242; -9.6553;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7917; -0.2881; 0.3105; -9.6758;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.7937; -0.3398; 0.3281; -9.6387;  -0.00;   0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.7957; -0.3164; 0.3125; -9.6494;  -0.00;   0.00;  -0.00;  -0.35;   1.05;  -0.26 
1687869136.7977; -0.3438; 0.3018; -9.6924;   0.00;  -0.00;  -0.00;  -0.36;   1.06;  -0.27 
1687869136.7997; -0.3066; 0.3027; -9.6621;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.8017; -0.3008; 0.2764; -9.5957;   0.00;   0.00;  -0.00;  -0.36;   1.07;  -0.28 
1687869136.8037; -0.3711; 0.2812; -9.6543;   0.00;   0.00;   0.00;  -0.36;   1.05;  -0.26 
1687869136.8057; -0.3672; 0.2959; -9.6777;  -0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.8077; -0.2334; 0.2607; -9.6045;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
