sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
10978; -4.7201; -3.1267; -129.9403; 0.0146; 0.3418; -10.0312;   0.01;   0.00;   0.19;  -0.39;   0.42;   0.04 
10979; -4.7286; -3.1202; -129.8550; -0.1182; 0.4561; -10.3994;   0.00;   0.00;   0.20;  -0.39;   0.42;   0.03 
10980; -4.7285; -3.1100; -129.7637; -0.3369; 0.4482; -10.4150;   0.00;  -0.00;   0.21;  -0.40;   0.42;   0.03 
10981; -4.7311; -3.1059; -129.6631; -0.2881; 0.4170; -10.2529;   0.00;  -0.01;   0.22;  -0.39;   0.42;   0.04 
10982; -4.7338; -3.1017; -129.5625; -0.1016; 0.3086; -9.9941;   0.00;  -0.01;   0.23;  -0.39;   0.42;   0.03 
10983; -4.7371; -3.0971; -129.4550; -0.0439; 0.3350; -9.7939;   0.01;  -0.01;   0.24;  -0.39;   0.42;   0.04 
10984; -4.7393; -3.0927; -129.3370; -0.0352; 0.3838; -9.6621;   0.01;  -0.01;   0.25;  -0.39;   0.42;   0.03 
10985; -4.7430; -3.0874; -129.2140; -0.1973; 0.4268; -9.7031;   0.00;  -0.01;   0.26;  -0.39;   0.42;   0.03 
10986; -4.7523; -3.0796; -129.0975; -0.3691; 0.4316; -9.8047;   0.00;  -0.01;   0.27;  -0.39;   0.42;   0.04 
10987; -4.7558; -3.0742; -128.9657; -0.3184; 0.3242; -9.8623;   0.01;  -0.01;   0.28;  -0.39;   0.42;   0.03 
10988; -4.7592; -3.0688; -128.8337; -0.1562; 0.3672; -9.9111;   0.01;  -0.01;   0.30;  -0.39;   0.42;   0.04 
10989; -4.7631; -3.0627; -128.6862; 0.0205; 0.2354; -9.9971;   0.01;  -0.01;   0.31;  -0.39;   0.42;   0.03 
10990; -4.7671; -3.0568; -128.5473; 0.0459; 0.2969; -10.0449;   0.01;  -0.01;   0.33;  -0.40;   0.42;   0.04 
10991; -4.7748; -3.0408; -128.3931; -0.1104; 0.2812; -10.1094;   0.00;  -0.01;   0.33;  -0.39;   0.42;   0.03 
10992; -4.7783; -3.0346; -128.2365; -0.2080; 0.3760; -10.0264;   0.00;  -0.01;   0.35;  -0.38;   0.42;   0.04 
10993; -4.7825; -3.0278; -128.0729; -0.2793; 0.4268; -9.9092;   0.01;  -0.01;   0.36;  -0.38;   0.42;   0.03 
10994; -4.7875; -3.0208; -127.9110; -0.2061; 0.5137; -9.7900;   0.01;  -0.01;   0.37;  -0.39;   0.43;   0.03 
10995; -4.7985; -3.0104; -127.7400; -0.1494; 0.4043; -9.7217;   0.01;  -0.01;   0.38;  -0.38;   0.42;   0.03 
10996; -4.8029; -3.0030; -127.5603; -0.1250; 0.3164; -9.7480;   0.01;  -0.01;   0.39;  -0.38;   0.43;   0.03 
10997; -4.8073; -2.9956; -127.3804; -0.1045; 0.2402; -9.8945;   0.01;  -0.01;   0.40;  -0.38;   0.43;   0.03 
10998; -4.8124; -2.9877; -127.1934; -0.1211; 0.2422; -10.0371;   0.01;  -0.01;   0.41;  -0.39;   0.42;   0.03 
10999; -4.8204; -2.9704; -127.0066; -0.1406; 0.3730; -10.0156;   0.01;  -0.01;   0.42;  -0.39;   0.43;   0.03 
11000; -4.8251; -2.9623; -126.8103; -0.2109; 0.4668; -10.0254;   0.01;  -0.02;   0.44;  -0.39;   0.42;   0.03 
11001; -4.8303; -2.9538; -126.6070; -0.1006; 0.4189; -10.0127;   0.01;  -0.02;   0.44;  -0.38;   0.43;   0.03 
11002; -4.8364; -2.9449; -126.4052; -0.2021; 0.4004; -9.8945;   0.01;  -0.02;   0.46;  -0.38;   0.42;   0.04 
11003; -4.8475; -2.9330; -126.1922; -0.1270; 0.3867; -9.8389;   0.01;  -0.02;   0.47;  -0.38;   0.42;   0.03 
11004; -4.8529; -2.9238; -125.9722; -0.0811; 0.3408; -9.8242;   0.01;  -0.02;   0.48;  -0.38;   0.43;   0.04 
11005; -4.8589; -2.9141; -125.7450; -0.1396; 0.4658; -9.8389;   0.01;  -0.02;   0.49;  -0.38;   0.42;   0.03 
11006; -4.8712; -2.9013; -125.5260; -0.1689; 0.4023; -9.9453;   0.01;  -0.02;   0.50;  -0.38;   0.43;   0.03 
11007; -4.8736; -2.8852; -125.2897; -0.2119; 0.3252; -9.9492;   0.01;  -0.02;   0.51;  -0.38;   0.43;   0.04 
11008; -4.8791; -2.8753; -125.0525; -0.1953; 0.3350; -9.9512;   0.01;  -0.02;   0.52;  -0.38;   0.43;   0.03 
11009; -4.8915; -2.8619; -124.8166; -0.1104; 0.3311; -9.9004;   0.01;  -0.02;   0.53;  -0.37;   0.42;   0.03 
11010; -4.8972; -2.8513; -124.5627; -0.0791; 0.3193; -9.9043;   0.01;  -0.02;   0.54;  -0.38;   0.42;   0.03 
11011; -4.9039; -2.8406; -124.3191; -0.0840; 0.3770; -9.9092;   0.01;  -0.02;   0.55;  -0.38;   0.42;   0.03 
11012; -4.9067; -2.8234; -124.0578; -0.1553; 0.4238; -9.9473;   0.01;  -0.02;   0.57;  -0.38;   0.43;   0.03 
11013; -4.9197; -2.8088; -123.7972; -0.2051; 0.3730; -9.9453;   0.01;  -0.02;   0.57;  -0.38;   0.43;   0.03 
11014; -4.9264; -2.7974; -123.5362; -0.1699; 0.3047; -9.8955;   0.01;  -0.02;   0.58;  -0.38;   0.43;   0.03 
11015; -4.9327; -2.7859; -123.2658; -0.1035; 0.3350; -9.7793;   0.01;  -0.02;   0.60;  -0.38;   0.43;   0.04 
11016; -4.9457; -2.7706; -122.9876; -0.0381; 0.3701; -9.8389;   0.01;  -0.02;   0.61;  -0.38;   0.43;   0.03 
